   9.6940000e-01   6.9090000e-01   4.3340000e-01   3.4965000e+00
   5.4270000e-01   1.3832000e+00   6.3900000e-01   4.0352000e+00
   6.0810000e-01  -9.1960000e-01   5.9250000e-01   1.0160000e-01
  -1.6180000e-01   4.6940000e-01   2.0300000e-01   3.0117000e+00
   1.8700000e-01  -2.5780000e-01   6.1240000e-01   1.7749000e+00
   4.8910000e-01  -5.2760000e-01   4.3780000e-01   6.4390000e-01
   3.7770000e-01   2.0149000e+00   7.4230000e-01   3.3932000e+00
   1.1498000e+00  -4.0670000e-01   2.4690000e-01   1.5866000e+00
   9.3250000e-01   1.0950000e+00   1.0359000e+00   3.3591000e+00
   5.0600000e-01   1.3317000e+00   9.2220000e-01   3.7174000e+00
   4.9700000e-02  -2.0656000e+00   6.1240000e-01  -6.5850000e-01
   4.0040000e-01   3.5369000e+00   9.7660000e-01   5.3532000e+00
  -1.8740000e-01   1.3343000e+00   5.3740000e-01   3.2189000e+00
   5.0600000e-01   1.3317000e+00   9.2220000e-01   3.7174000e+00
   1.6375000e+00  -7.9110000e-01   7.5370000e-01   5.5150000e-01
