  -3.5650000e-01   6.2000000e-02   5.9891000e+00
  -7.8420000e-01   1.1267000e+00   5.5912000e+00
   3.0120000e-01   5.6110000e-01   5.8234000e+00
   7.7570000e-01   1.0648000e+00   8.0677000e+00
   1.5700000e-01   8.0280000e-01   6.3040000e+00
  -7.0140000e-01   1.0316000e+00   3.6005000e+00
   3.7480000e-01   1.5360000e-01   6.1537000e+00
  -6.9200000e-01   9.4040000e-01   4.4058000e+00
  -1.3970000e+00   7.1410000e-01   4.9263000e+00
  -1.8842000e+00  -2.8050000e-01   1.2548000e+00
